segment,precision_at_5,recall_at_5,ndcg_at_5,precision_at_10,recall_at_10,ndcg_at_10,map_at_10,modele,fenetre,policy_combo
actif,0.01731958762886598,0.03645868106692849,0.02785232477599378,0.015793814432989692,0.06586728849615447,0.039706088066790185,0.021143298189837217,popularite_recente,1,inclut_produits_deja_achetes
peu_actif,0.015829528158295282,0.03500036239762267,0.026776702974647935,0.01643835616438356,0.07157292648160228,0.041373444079891554,0.02234272278729407,popularite_recente,1,inclut_produits_deja_achetes
actif,0.014103092783505156,0.028107674684994272,0.022632468212210276,0.012494845360824743,0.048521027655048274,0.031248038752016066,0.01715293868979436,popularite_categorie,1,inclut_produits_deja_achetes
peu_actif,0.013292744799594115,0.02807131985214177,0.02175399777913118,0.012125824454591578,0.049969800198110696,0.030897793399345654,0.016841891669571597,popularite_categorie,1,inclut_produits_deja_achetes
actif,0.01575257731958763,0.03227589592538046,0.025755649709708738,0.015422680412371133,0.0645863197512682,0.0389026043894033,0.020744493536246113,collaboratif_item_item,1,inclut_produits_deja_achetes
peu_actif,0.016032470826991375,0.034598705032494986,0.025721926887747867,0.014561136478944699,0.0604908071803049,0.03644208909403779,0.01950294146070402,collaboratif_item_item,1,inclut_produits_deja_achetes
actif,0.010474226804123712,0.02225249549991818,0.01653805425692085,0.010020618556701031,0.042580592374406805,0.02472874906908974,0.012606867397589048,contenu_categorie_prix,1,inclut_produits_deja_achetes
peu_actif,0.009842719431760528,0.02079518091694652,0.015264081567488036,0.009639776763064434,0.041850482794166206,0.023547896326294993,0.012126572738571725,contenu_categorie_prix,1,inclut_produits_deja_achetes
actif,0.01682474226804124,0.036565210276550485,0.027262875428857258,0.015381443298969073,0.06420831287841597,0.03868134610779429,0.02075477008672885,popularite_globale,1,sans_filtre_stock
peu_actif,0.016641298833079656,0.034923654900823844,0.026542192257644887,0.016336884830035515,0.06777681138411731,0.03993644969195605,0.020830023818535815,popularite_globale,1,sans_filtre_stock
actif,0.01731958762886598,0.036380134184257895,0.027014460518107596,0.015340206185567012,0.06403060055637375,0.03801546589060179,0.019905320226601523,popularite_recente,1,sans_filtre_stock
peu_actif,0.016641298833079656,0.035287864511608806,0.027310367534244682,0.016539827498731608,0.07068223365788054,0.041384867501653516,0.022225047581465644,popularite_recente,1,sans_filtre_stock
actif,0.012948453608247423,0.02512714776632302,0.020795423783062122,0.012288659793814433,0.04715169366715759,0.03000692253617738,0.016213312060219278,popularite_categorie,1,sans_filtre_stock
peu_actif,0.014307458143074582,0.029948539537580633,0.02287667304851388,0.011618467782851345,0.04821458771230461,0.03028243370179194,0.016569470282052728,popularite_categorie,1,sans_filtre_stock
actif,0.015340206185567012,0.03145115365733922,0.025234852189792364,0.014927835051546393,0.061716903943708074,0.03768880354478792,0.020251557301041837,collaboratif_item_item,1,sans_filtre_stock
peu_actif,0.016032470826991375,0.034598705032494986,0.025721926887747867,0.014510400811770675,0.06032168828972482,0.036380141881321396,0.019469822344632084,collaboratif_item_item,1,sans_filtre_stock
actif,0.010309278350515464,0.02120274914089347,0.016396426215565852,0.010391752577319589,0.043926035018818525,0.025456184772169294,0.012919968674755125,contenu_categorie_prix,1,sans_filtre_stock
peu_actif,0.009741248097412482,0.020025689964807164,0.015199181202287996,0.010147133434804667,0.042971499440297004,0.024242031898411332,0.012419252440815098,contenu_categorie_prix,1,sans_filtre_stock
actif,0.019766536964980548,0.03857003891050584,0.028630396674700572,0.019105058365758754,0.0743922549564573,0.04325578376940055,0.02131054730582246,popularite_globale,2,defaut_exclut_achats_stock_filtre
peu_actif,0.016930137684854667,0.03328416017095263,0.025953075842046043,0.015502294747577767,0.06022457767740787,0.037232272724364184,0.019573474128730194,popularite_globale,2,defaut_exclut_achats_stock_filtre
actif,0.015642023346303505,0.02804351182755852,0.022847509017972646,0.016498054474708174,0.06251636711753443,0.03690907549431944,0.018012281771766208,popularite_recente,2,defaut_exclut_achats_stock_filtre
